Car Name,Brand,Country of Origin,Body Style,Segment,Sales,Month
370 Z,Nissan,Japan,Sports Car,Premium,0,2016-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2016-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2016-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2017-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2018-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2019-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2020-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2021-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2022-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2023-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2024-12-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-01-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-02-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-03-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-04-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-05-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-06-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-07-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-08-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-09-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-10-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-11-01
370 Z,Nissan,Japan,Sports Car,Premium,0,2025-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,4124,2011-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,3657,2011-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,2934,2011-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1525,2011-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1734,2011-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,905,2011-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,779,2011-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1600,2011-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,832,2011-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,277,2011-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1057,2011-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,788,2011-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,2069,2012-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1102,2012-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,706,2012-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,926,2012-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,848,2012-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1107,2012-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,583,2012-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,114,2012-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,71,2012-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,587,2012-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,953,2012-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1001,2012-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1178,2013-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,1015,2013-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,874,2013-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,606,2013-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,438,2013-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,506,2013-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,310,2013-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,625,2013-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,399,2013-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,448,2013-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,447,2013-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,267,2013-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2014-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2015-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2016-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2017-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2018-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2019-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2020-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2021-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2022-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2023-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2024-12-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-01-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-02-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-03-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-04-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-05-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-06-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-07-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-08-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-09-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-10-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-11-01
A-Star,Maruti Suzuki,Japan,Hatchback,B1,0,2025-12-01
Accent,Hyundai,South Korea,Sedan,C1,1317,2011-01-01
Accent,Hyundai,South Korea,Sedan,C1,1224,2011-02-01
Accent,Hyundai,South Korea,Sedan,C1,1293,2011-03-01
Accent,Hyundai,South Korea,Sedan,C1,1114,2011-04-01
Accent,Hyundai,South Korea,Sedan,C1,1047,2011-05-01
Accent,Hyundai,South Korea,Sedan,C1,941,2011-06-01
Accent,Hyundai,South Korea,Sedan,C1,900,2011-07-01
Accent,Hyundai,South Korea,Sedan,C1,714,2011-08-01
Accent,Hyundai,South Korea,Sedan,C1,553,2011-09-01
Accent,Hyundai,South Korea,Sedan,C1,745,2011-10-01
Accent,Hyundai,South Korea,Sedan,C1,682,2011-11-01
Accent,Hyundai,South Korea,Sedan,C1,575,2011-12-01
Accent,Hyundai,South Korea,Sedan,C1,463,2012-01-01
Accent,Hyundai,South Korea,Sedan,C1,580,2012-02-01
Accent,Hyundai,South Korea,Sedan,C1,525,2012-03-01
Accent,Hyundai,South Korea,Sedan,C1,399,2012-04-01
Accent,Hyundai,South Korea,Sedan,C1,321,2012-05-01
Accent,Hyundai,South Korea,Sedan,C1,301,2012-06-01
Accent,Hyundai,South Korea,Sedan,C1,182,2012-07-01
Accent,Hyundai,South Korea,Sedan,C1,154,2012-08-01
Accent,Hyundai,South Korea,Sedan,C1,131,2012-09-01
Accent,Hyundai,South Korea,Sedan,C1,240,2012-10-01
Accent,Hyundai,South Korea,Sedan,C1,234,2012-11-01
Accent,Hyundai,South Korea,Sedan,C1,267,2012-12-01
Accent,Hyundai,South Korea,Sedan,C1,157,2013-01-01
Accent,Hyundai,South Korea,Sedan,C1,250,2013-02-01
Accent,Hyundai,South Korea,Sedan,C1,295,2013-03-01
Accent,Hyundai,South Korea,Sedan,C1,87,2013-04-01
Accent,Hyundai,South Korea,Sedan,C1,10,2013-05-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-06-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-07-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-08-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-09-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-10-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-11-01
Accent,Hyundai,South Korea,Sedan,C1,0,2013-12-01
Accent,Hyundai,South Korea,Sedan,C1,0,2014-01-01
Accent,Hyundai,South Korea,Sedan,C1,0,2014-02-01
Accent,Hyundai,South Korea,Sedan,C1,0,2014-03-01
Accent,Hyundai,South Korea,Sedan,C1,0,2014-04-01
Accent,Hyundai,South Korea,Sedan,C1,0,2014-05-01
