Month,Hyundai,Renault,Tata,Toyota,Industry_Total,Renault_share_pct,Tata_share_pct,Toyota_share_pct,Hyundai_share_pct
2011-01-01,30306,0,30212,8536,225680,0.0,13.38709677419355,3.782346685572492,13.428748670684154
2011-02-01,32629,0,31909,9308,228002,0.0,13.995052674976534,4.082420329646231,14.310839378601942
2011-03-01,31822,0,27678,9726,235759,0.0,11.73995478433485,4.125399242446736,13.497681954877649
2011-04-01,31636,0,23387,9681,199497,0.0,11.722983303007064,4.8527045519481495,15.857882574675308
2011-05-01,31123,0,19401,7470,198780,0.0,9.760036220947782,3.7579233323271963,15.657007747258275
2011-06-01,30402,0,21994,12034,205677,0.0,10.693465968484565,5.850921590649416,14.781429134030544
2011-07-01,25642,212,17192,13592,172869,0.12263621586287882,9.945102939219872,7.862601160416268,14.833197392244996
2011-08-01,26677,171,16829,11679,179862,0.09507288921506488,9.3566178514639,6.4933115388464495,14.831926699358396
2011-09-01,35955,191,26319,12807,206564,0.09246528920818729,12.74132956371875,6.200015491566779,17.40622760984489
2011-10-01,33001,178,25124,10762,174846,0.10180387312263364,14.369216338949704,6.155130800819006,18.87432369056198
2011-11-01,35000,174,27737,13956,208517,0.08344643362411698,13.302032927770876,6.692979469299866,16.785202165770656
2011-12-01,29516,190,28916,15948,198174,0.09587534187128482,14.59121781868459,8.04747343243816,14.893982056172858
2012-01-01,33900,885,34669,17395,240475,0.3680216238694251,14.416883251897286,7.233600166337458,14.097099490591539
2012-02-01,36805,673,34832,16659,257679,0.2611776667869714,13.517593595131927,6.4650204323984495,14.283274927332068
2012-03-01,39122,1005,36984,18220,277705,0.36189481644190774,13.317729245062207,6.560918960767721,14.087610954069966
2012-04-01,35070,615,22658,14378,216656,0.2838601284986338,10.45805331954804,6.636326711468872,16.186950742190383
2012-05-01,32010,482,20503,15501,210580,0.22889163263367843,9.736442207237154,7.361097920030392,15.200873777186818
2012-06-01,30450,787,17244,14700,195002,0.40358560425021284,8.8429862257823,7.538384221700291,15.615224459236316
2012-07-01,27713,1776,26240,14574,192480,0.9226932668329177,13.632585203657523,7.571695760598504,14.397859517871986
2012-08-01,27803,4036,22311,13995,171040,2.3596819457436857,13.04431711880262,8.182296538821328,16.25526192703461
2012-09-01,30201,5577,21652,12115,213950,2.6066838046272496,10.120121523720496,5.662537976162655,14.115914933395654
