Month,Industry_Total,Renault_Total,Market_Share_Pct
2021-12-01,254270,6130,2.4108231407558893
2022-01-01,294494,8119,2.756932229519107
2022-02-01,302426,6568,2.171770945619755
2022-03-01,321373,8518,2.650502686908981
2022-04-01,293081,7594,2.5910925648540846
2022-05-01,294087,5010,1.7035775127768313
2022-06-01,320555,9317,2.906521501770367
2022-07-01,347885,7128,2.0489529585926385
2022-08-01,334095,7012,2.0988042323291283
2022-09-01,362025,7623,2.105655686761964
2022-10-01,339893,7778,2.288367221449103
2022-11-01,324056,6325,1.951823141679216
2022-12-01,275160,6126,2.2263410379415616
2023-01-01,381805,3008,0.7878367229344824
2023-02-01,340450,6616,1.9433103245704215
2023-03-01,341752,5389,1.5768744586717853
2023-04-01,338930,4323,1.275484613341988
2023-05-01,340920,4635,1.3595564941921858
2023-06-01,327544,5450,1.6638985907236892
2023-07-01,351908,3607,1.0249838025847664
2023-08-01,360230,3633,1.008522332953946
2023-09-01,362863,3369,0.9284495801445725
2023-10-01,390853,3861,0.9878394178885669
2023-11-01,334868,2452,0.732228818519536
2023-12-01,287204,1988,0.6921909165610507
2024-01-01,393471,3826,0.9723715343697502
2024-02-01,375178,4080,1.0874838076859517
2024-03-01,369381,4225,1.143805447491885
2024-04-01,337070,3707,1.099771560803394
2024-05-01,359057,3709,1.032983620984969
2024-06-01,339418,3553,1.0467918613626856
2024-07-01,342813,2832,0.8261063611940037
2024-08-01,357879,3018,0.8433017863579589
2024-09-01,354977,3217,0.9062558982694653
2024-10-01,394075,3870,0.9820465647402145
2024-11-01,350596,2811,0.8017775445241817
2024-12-01,323242,2881,0.8912826922244016
2025-01-01,401538,2780,0.692337960541717
2025-02-01,380690,2676,0.7029341458929839
2025-03-01,385860,2846,0.7375732130824652
2025-04-01,353449,2602,0.7361741014969627
2025-05-01,349711,2502,0.7154478984075422
2025-06-01,317757,2625,0.8261029654736166
2025-07-01,346669,2575,0.7427834620343902
2025-08-01,327504,3015,0.9205994430602373
2025-09-01,378430,4265,1.1270248130433635
2025-10-01,466738,4672,1.0009898486945568
2025-11-01,417440,3662,0.8772518206209275
2025-12-01,437229,3845,0.8794018695008794
