Car Name,Brand,Country of Origin,Body Style,Segment,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Palio,Fiat,Italy,Hatchback,B1,24,3,5,19,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evo + Avventura,Fiat,Italy,Hatchback,B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,985,806,1238,616,490,517,414,614,559,585,619,678,544,437,631,501,664,520,477,491,408,354,501,424,501,479,542,232,301,225,244,311,236,280,167,135,189,168,90,60,54,35,31,34,61,40,33,21,76,85,77,43,67,50,16,36,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiesta,Ford,USA,Hatchback,C2,1059,1074,1228,1092,1266,1077,781,401,647,608,624,780,0,77,373,277,257,203,231,165,128,179,124,214,68,63,98,101,53,233,16,19,154,410,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endeavour,Ford,USA,SUV,D2,351,336,331,214,172,248,271,233,281,245,204,117,218,23,16,182,140,133,116,80,100,128,154,220,31,120,50,59,67,42,57,39,57,33,180,53,2,5,38,0,31,30,34,25,22,9,26,27,3,4,3,0,0,0,0,,0,0,0,0,480,410,385,560,501,465,698,702,501,388,562,912,455,356,390,632,335,67,1030,1163,460,523,549,326,529,814,492,364,351,573,471,503,491,565,433,658,0,848,572,498,628,716,700,572,568,700,724,261,167,555,381,0,122,366,616,637,694,852,647,447,545,801,1024,840,263,892,1024,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
figo,Ford,USA,Hatchback,B2,8616,7883,8926,6013,5608,5698,5273,5204,5220,5689,6106,4114,7508,6546,7073,5812,4726,4826,4697,6295,6279,5610,4785,4509,5240,3804,4381,3336,3469,2504,2679,2248,3515,2806,2775,1862,2354,3099,1939,2200,1551,1479,1519,1262,1662,1710,1389,151,2056,1340,1070,806,900,841,463,4,1547,3534,2790,2191,1770,1580,1396,1055,1076,1990,710,1274,1480,2020,363,352,1264,1488,1126,1092,1164,879,931,775,1159,1112,599,679,814,1072,1030,795,80,54,78,14,5,65,116,7,0,519,691,739,610,308,1466,895,944,967,743,490,13,1003,170,0,17,174,101,186,213,339,353,1,82,119,219,1,0,0,216,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eco Sport,Ford,USA,SUV,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002,4715,5372,6203,5113,4392,3905,3912,3490,3904,4013,4005,5176,5397,4921,4515,4528,3842,3365,4288,4266,3751,3973,3780,3666,3885,3137,3142,3417,3617,1481,3047,2638,4456,3789,3033,4609,4885,5248,4417,3936,4092,1560,3761,4561,4662,3924,3565,3313,4375,4444,4934,400,5474,1733,6833,5438,5344,4128,5003,4007,4040,4435,3789,3957,2724,2275,4510,3156,4241,3191,3604,3254,3137,2882,3139,4326,2822,1727,3852,3713,2197,0,331,1212,2438,2757,3558,4599,1590,934,2266,3171,5487,3820,503,3511,1635,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspire,Ford,USA,Sedan,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5176,3596,3041,2366,2252,1748,855,1328,1156,1170,2401,748,1304,2613,1162,1800,2713,2470,1926,2481,1961,1669,1882,2074,1392,2208,2180,1151,2346,1270,1709,2145,918,601,1246,1069,523,1640,2520,1583,1497,1539,1027,1277,979,761,463,431,521,483,519,471,247,518,744,431,0,44,381,318,431,539,446,267,110,293,399,327,173,0,120,96,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustang,Ford,USA,Sports Car,Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,7,2,59,29,45,7,41,9,9,8,8,3,8,3,4,3,4,8,5,6,7,10,5,3,12,8,11,14,5,13,10,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Style,Ford,USA,Hatchback,B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,3027,2554,2153,2564,2302,1929,1508,1389,1646,1106,1480,1076,743,592,550,647,422,505,632,296,331,1004,340,0,57,506,464,720,761,848,1134,170,955,1285,689,635,0,413,168,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pajero + Sport,Mitsubishi,Japan,SUV,D2,94,140,128,76,146,107,180,175,0,150,99,82,95,49,233,165,120,50,238,172,32,119,152,207,230,270,225,113,144,116,163,173,170,154,112,81,100,100,128,100,150,90,0,0,0,0,0,163,272,213,219,204,200,0,123,138,0,200,100,77,125,71,126,60,72,70,44,70,65,0,0,35,30,0,68,52,24,0,0,63,55,23,28,13,40,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
