Car Name,Brand,Country of Origin,Body Style,Segment,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Outlander,Mitsubishi,Japan,SUV,D2,69,72,77,42,49,41,33,32,,41,9,13,18,15,11,19,12,10,10,10,1,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancer + cedia,Mitsubishi,Japan,Sedan,C2,21,19,74,8,24,7,60,59,0,30,29,30,24,47,42,10,41,13,10,7,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montero,Mitsubishi,Japan,SUV,Premium,2,11,14,10,1,8,15,8,0,3,4,2,8,5,11,3,2,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVO-X,Mitsubishi,Japan,Sports Car,Premium,0,1,1,0,1,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Honda,Japan,Sedan,C2,5059,3668,2773,1542,1828,28002,4092,5819,3720,3376,652,600,1503,6052,3902,2092,3753,1254,1843,2536,2811,3976,1218,1442,2898,3271,3432,1917,3202,1830,1953,953,2043,31,0,0,7184,7213,9518,7038,7216,7715,7697,757,4599,5120,7251,6012,7667,6499,9777,8203,7562,7187,5180,5405,5702,7022,6342,6366,8037,4880,5662,5793,3305,3581,4317,4255,5855,6378,2658,2898,6355,6318,6271,5948,4046,5187,4854,5538,6010,4366,3315,4365,3968,3885,4680,3366,2763,3882,3709,2790,2564,3612,3531,3295,4855,3273,3432,2394,2557,2461,1921,1593,1819,1887,1500,1004,1734,1256,786,0,118,585,1975,2299,2709,4124,3523,2717,3667,2524,815,3128,1148,2571,3627,3284,3348,3611,2666,3743,3950,2836,3225,2300,3628,3292,3149,3488,3420,3250,2711,3086,2058,1963,2693,1920,1532,1478,1478,1494,1599,1553,1336,1112,1123,1184,1116,824,1054,859,957,1018,895,1004,709,783,739,889,1170,406,491,709,646,437,496,578,605,943
Civic,Honda,Japan,Sedan,D1,508,512,379,253,190,175,233,330,117,281,161,68,176,208,104,51,62,58,138,53,47,60,72,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2291,369,368,250,181,144,336,436,375,178,146,174,67,0,1,14,77,204,181,230,143,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accord,Honda,Japan,Sedan,D2,174,242,216,83,115,103,84,132,137,172,91,61,98,94,101,25,38,52,39,34,23,43,36,79,73,62,113,33,24,27,20,62,46,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,28,1,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jazz,Honda,Japan,Hatchback,B2,579,400,152,112,170,361,275,600,596,463,382,296,0,356,535,1300,1948,649,598,465,556,306,186,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,6676,5404,4762,4496,3367,2602,4709,3365,3683,869,2473,2593,3517,3818,2608,3011,2655,1601,3124,2758,3527,2061,1818,1307,2971,2747,3001,2646,2039,1891,2257,2257,2473,1747,680,1175,1869,1119,1018,1057,1427,1291,1545,1085,1078,796,676,680,719,558,649,750,341,635,46,0,0,0,0,0,0,583,748,642,633,602,953,865,707,830,214,243,586,630,667,760,327,486,588,457,125,472,305,593,341,448,618,197,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRV,Honda,Japan,SUV,D2,38,21,56,22,31,14,41,26,17,14,30,16,7,100,1,17,21,45,53,47,3,0,0,0,30,55,30,58,68,100,132,148,134,87,22,9,117,65,78,63,58,80,58,62,86,71,62,22,57,140,100,55,48,57,130,65,66,87,43,65,81,81,94,46,69,53,71,77,47,41,21,55,54,25,19,36,29,24,15,55,31,14,21,40,11,14,41,17,18,10,12,13,46,228,106,113,122,59,104,59,66,55,70,108,165,152,85,38,37,25,14,0,2,2,11,10,21,31,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brio,Honda,Japan,Hatchback,B2,0,0,0,0,0,0,0,0,171,1220,666,31,0,2046,6355,3590,4512,609,1715,2335,2064,3700,2199,2286,2336,2916,3917,1628,2010,2375,2602,1508,1452,1472,1712,1026,1015,1235,1456,577,1333,1438,74,1211,1152,1584,1050,1120,951,1397,1642,827,873,923,1122,622,759,820,461,221,396,399,2158,198,228,359,349,784,1209,535,202,443,627,521,540,438,378,283,396,640,504,640,154,291,422,375,261,397,183,190,183,157,64,27,10,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaze,Honda,Japan,Sedan,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552,4852,6036,4965,6515,6242,6679,9564,7598,4458,7398,6030,7374,3355,4750,7073,4507,9198,3848,3482,3310,5176,6709,7163,8128,2862,3699,6834,4589,3260,6577,6971,4106,2933,3471,4069,5223,2639,1409,1617,2309,2488,2861,4009,1971,3322,3911,3924,3296,2029,1323,1193,2913,1928,2561,1845,1976,1415,2836,933,716,0,9783,9103,10180,9644,8401,5542,4854,5565,7981,6562,7419,5774,6000,5306,5818,4535,4823,5134,3286,5077,3160,5814,2744,0,140,139,2587,3684,5416,4709,4706,4385,5477,4939,4596,3920,478,1487,1134,6591,2063,3009,2344,3659,5395,3405,2988,4467,3709,3350,2767,3418,4082,5443,3890,3614,5580,4123,3996,3393,3128,3602,3386,3564,2577,2890,2639,2414,2972,2774,2678,1796,2215,1794,2327,2585,2820,2393,2628,3708,3591,3263,3583,2019,1998,2274,2009,1753,2610,3630,2763,2575
Mobilio,Honda,Japan,MPV,Utility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365,5530,5329,2985,3588,2098,2940,1697,3049,689,1249,1043,909,899,643,770,393,192,441,226,610,374,126,140,137,290,261,498,101,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRV,Honda,Japan,MPV,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,2344,3064,3333,2229,2193,1070,419,1601,1458,703,1436,701,870,567,1042,1247,1298,1280,793,880,1071,822,992,667,469,459,631,475,352,468,292,442,363,270,325,276,255,294,214,175,168,284,151,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elevate,Honda,Japan,SUV,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822,5685,4957,4755,4376,4586,3184,3277,1731,1553,2151,1340,1723,1960,2149,1668,2334,1773,1464,2475,935,1461,1635,1395,1660,2199,2186,1836,2289
M 800,Maruti Suzuki,Japan,Hatchback,A,1876,2712,2915,2528,2262,1823,1646,1813,1993,1601,1373,1621,2114,2193,2286,1705,1222,1463,1411,1382,1414,1438,1101,1246,1635,1680,2136,1680,1626,1336,1662,1522,1594,2087,1754,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omni,Maruti Suzuki,Japan,MPV,Utility,8059,7756,7808,7577,9333,6683,7408,7053,6892,5500,6351,5200,7668,7641,7218,7321,7452,6300,5949,5921,6427,4559,5290,4742,5385,5033,5575,4874,4210,3930,4214,4860,5375,6547,5477,5590,6093,6733,6261,4968,6104,6496,6342,5232,6659,6144,7214,6252,6011,6599,6665,6552,6445,6084,7436,6956,6694,6816,6520,6149,5901,7151,7245,8356,6923,5530,8564,7072,7143,6987,6698,4838,8723,7809,6103,7628,6835,4685,8714,7727,6920,6678,6769,5678,6155,6336,6458,8411,8861,6573,8213,7117,7291,6954,6570,7318,6082,6902,6545,1395,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto,Maruti Suzuki,Japan,Hatchback,A,33118,33015,38065,25462,25393,23240,24974,23170,21198,15197,24422,24113,32965,32909,35245,17842,20724,21645,17422,10488,21209,26600,23550,26234,28685,25030,27356,19847,16411,20077,18206,17124,23620,22574,23024,23823,23362,24623,25590,16763,17311,30499,16997,21553,19906,21443,24201,22296,22889,25673,24961,21531,22595,21115,22212,23017,20658,22861,21995,22589,21462,21286,22101,16583,19874,15750,19844,20919,27750,18854,23320,17351,22998,19524,18868,22549,23618,14856,26009,21521,23830,19447,24166,20346,19134,19760,23303,21233,21890,18070,23371,22237,21719,22180,18643,25121,23360,24751,16826,22766,16394,18733,11577,10123,15079,17903,15086,15489,18914,17921,10829,0,1506,7298,13654,14397,18246,17850,15321,18140,18260,16919,17401,17303,3220,12513,12867,13236,12143,17389,13812,11170,12342,11551,7621,10443,12933,13790,9065,14388,24844,21260,15663,8648,21411,18114,9139,11548,9368,11323,7099,9603,7791,11200,8076,2497,12395,11723,9332,9043,7675,7775,7353,8546,8655,8548,7467,7410,11352,8541,9867,5606,4970,5045,5910,5520,5434,6210,10600,10829
Estilo,Maruti Suzuki,Japan,Hatchback,B1,3652,4469,4403,2342,2372,1532,1444,1527,1651,715,702,1006,1788,1378,1001,693,666,1015,1079,828,1079,1217,866,1034,1134,344,1324,561,243,503,896,724,1183,542,700,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagon R,Maruti Suzuki,Japan,Hatchback,B1,14186,14131,14885,12229,12736,12215,10629,10913,13301,7934,12069,12071,14888,12900,14589,10247,7101,9983,9582,10078,16456,13608,11075,4316,14981,13586,14681,12794,12952,9395,13409,12748,15448,14270,12815,12154,13215,12674,14495,9280,11757,17119,11762,13133,15641,14310,13545,12329,12861,14315,15198,13872,12467,13221,15540,14648,14912,14734,13986,14645,12744,14209,14577,15323,13231,11962,15207,14571,16645,15075,15566,14176,14930,13555,12105,16348,15471,10668,16301,13907,14649,13043,14038,11800,14182,14029,14208,16561,15974,11311,14339,13658,13252,10655,11311,2540,10048,15661,16152,11306,14561,10228,15062,11402,11757,14359,14650,10781,15232,18235,9151,0,1199,6972,13515,13770,17581,18703,16256,17684,17165,18728,18757,18656,2086,19447,22836,9628,7632,12335,16853,19728,20334,14669,24634,17766,16814,19190,22588,18398,20078,17945,14720,10181,20466,16889,17305,20879,16258,17481,12970,15578,16250,22080,16567,8578,17756,19412,16368,17850,14492,13790,16191,16450,13339,13922,13982,17303,24078,19879,17175,13413,13949,12930,14710,14552,15388,18970,14619,14575
Dzire,Maruti Suzuki,Japan,Sedan,C1,9771,9490,10278,11797,10812,2486,3021,7856,9411,5001,10403,9189,8637,15068,16451,15510,17707,13741,11413,3085,11694,14389,13502,13076,17060,18316,20078,19446,17265,12548,15249,13723,16708,17211,15286,15427,19232,18353,17237,16008,18953,15990,18634,19129,18185,17950,14009,17202,19533,17085,17971,18316,19663,21866,23086,18718,19682,24502,18826,16790,17587,17410,17796,13256,16968,15560,19229,15766,18961,17682,17218,14643,18088,16613,15894,8797,9413,12049,14703,30934,34305,20610,22492,21145,22540,20941,22195,25935,24365,24465,25647,21990,21296,17404,21037,16797,19073,15915,19935,18544,16196,14868,12923,13274,15662,19569,17659,15286,22406,7296,5476,0,2215,5834,9046,13629,13988,17675,13536,13868,15125,11901,11434,14073,5819,12639,10470,5714,2141,8077,8196,10633,14967,17438,18623,10701,11603,12597,13747,11868,9601,12321,14456,11997,11317,16798,13394,10132,11315,9322,13395,13293,13880,14699,15965,14012,16773,15837,15894,15825,16061,13421,11647,10627,10853,12698,11779,16573,15383,14694,15460,16996,18084,15484,20895,16509,20038,20791,21082,19072
SX4,Maruti Suzuki,Japan,Sedan,C2,2159,3534,3632,2102,2702,713,2303,1893,196,320,1433,843,1939,2033,1520,634,405,408,679,447,288,695,692,329,1012,215,903,601,503,314,322,348,378,262,200,271,191,228,411,76,121,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eeco,Maruti Suzuki,Japan,MPV,Utility,5886,5780,6608,5445,6212,5499,5971,5447,4845,4496,3261,2708,4771,5664,5218,4402,1983,616,930,5672,6193,4232,3360,3155,2989,3100,3931,3822,2962,2903,3329,3096,3392,3239,2544,2722,3252,3199,3491,3354,4667,3242,5338,4758,5204,4309,4984,4519,4102,4702,5103,5517,5157,4381,4451,5535,5142,6861,5912,4973,4611,5331,5651,6164,5241,4344,6184,5759,6475,5803,5540,4386,5456,6386,5525,6310,5758,4523,7000,6204,6815,5991,6796,5742,6095,6089,7231,7475,7856,5612,7578,6546,7354,6714,7483,8532,9063,7663,9893,10254,11739,9265,9814,8658,9949,10011,10162,7634,12324,11227,5966,0,1617,3803,8501,9115,11220,13309,11183,11215,11680,11891,11547,11469,1096,9218,10057,10666,7844,10320,9571,9165,10528,9190,9221,11154,10482,10130,13048,11999,12697,8861,7183,10581,11709,11352,11995,10504,12818,9354,12037,11859,11174,12975,10226,10034,12019,12147,12019,12060,10960,10771,11916,10985,11908,11653,10589,11678,11250,11493,10409,11438,12327,9340,12341,10785,10035,13537,13200,11899
Swift,Maruti Suzuki,Japan,Hatchback,B2,11353,10936,12114,10622,12742,9468,348,7511,11329,7845,17273,16375,18756,20739,20521,19484,20050,15682,11421,804,9136,15433,17335,17436,18928,19534,19654,16531,14353,17236,10461,14152,16839,19047,15734,16788,19027,19099,19304,15874,17936,13632,15703,17716,17265,11965,17900,17410,19669,19546,16722,18444,17195,17313,18870,16811,18278,17669,11859,14548,14057,15475,14524,15661,12355,9033,13934,13027,16746,14611,14594,14538,14545,12328,15513,23802,16532,9902,13738,12631,13193,12057,13337,9793,14445,17291,19207,22776,19208,18171,19993,19115,22228,17215,22191,11790,18795,18224,14218,15776,17039,16330,12677,12444,12934,19401,19314,14749,19981,18696,8575,0,597,4013,10173,14869,22643,24589,18498,18131,17180,20264,21714,18316,7005,17727,18434,12483,2520,9180,14568,15661,19108,19202,13623,8898,14133,16213,17588,11275,11988,17231,15153,12061,16440,18412,17559,18753,17346,15955,17896,18653,14703,20598,15311,11843,15370,13165,15728,4094,19393,16422,16191,16450,12339,13922,13982,10421,17081,16269,17746,14592,14135,13275,14190,12385,15547,15542,19733,18767
A-Star,Maruti Suzuki,Japan,Hatchback,B1,4124,3657,2934,1525,1734,905,779,1600,832,277,1057,788,2069,1102,706,926,848,1107,583,114,71,587,953,1001,1178,1015,874,606,438,506,310,625,399,448,447,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ritz,Maruti Suzuki,Japan,Hatchback,B2,6046,5882,6059,5263,6071,5239,7307,7005,6742,2299,4184,3272,5212,5782,6391,5895,3574,5927,3259,4427,7598,5809,5648,4012,3944,4143,4890,4443,2551,3257,2525,2533,2806,2599,1688,1478,2661,2250,2921,1980,2600,3783,3059,4586,2693,2853,2493,3745,3233,1927,1556,2054,1605,1337,2011,1177,1194,1402,1274,1039,1637,1582,2532,1846,2403,4682,3346,3038,2515,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gypsy,Maruti Suzuki,Japan,SUV,Utility,191,151,606,210,1099,182,32,8,14,3,162,51,230,228,409,128,931,235,199,240,108,111,102,237,110,115,288,149,0,47,0,0,0,12,0,222,326,250,289,154,126,128,203,833,308,1002,512,894,396,412,1000,271,137,136,125,124,86,586,828,1187,283,340,220,221,169,199,156,205,380,179,104,133,74,106,229,567,863,463,185,922,564,1419,569,601,932,536,612,368,518,169,252,0,283,228,447,133,486,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,452,379,596,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Vitara(old + new),Maruti Suzuki,Japan,SUV,C2,1,5,14,7,1,3,3,5,1,0,0,0,1,2,4,1,1,3,4,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4769,8052,4433,6171,8662,9183,10045,7742,8877,10486,9079,11818,11736,10834,7937,6988,13438,11002,11232,7651,9736,9679,9397,9021,10267,14083,10148,7093,15784,10669,10418,7154,5197,6828,6373,5743,5698,10409,11339,8597
Kizashi,Maruti Suzuki,Japan,Sedan,D2,0,25,103,35,50,32,51,162,3,14,8,32,9,14,48,3,12,6,2,0,12,35,71,45,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
